n	glouton_1	glouton_2	glouton_2_parallele
20	0.000077	0.000446	0.001173
30	0.000100	0.001759	0.002312
40	0.000188	0.004288	0.003781
50	0.000337	0.009106	0.006104
60	0.000529	0.016778	0.008179
70	0.000914	0.029191	0.010687
80	0.001257	0.046867	0.014137
90	0.001551	0.075113	0.017794
100	0.002054	0.104947	0.021688
110	0.002365	0.153557	0.026574
120	0.003182	0.213510	0.031552
130	0.004095	0.287325	0.037642
140	0.004787	0.358133	0.044074
150	0.005373	0.477288	0.051890
160	0.006245	0.599790	0.061806
170	0.007735	0.755493	0.072519
